race_id,˜g”Ô,“o”Ô,p_win,strength,finish_rank
012025080307,1,4058,0.4007,1.000000,2
012025080307,2,5183,0.0844,0.210660,3
012025080307,3,4702,0.2605,0.650136,1
012025080307,4,3482,0.2193,0.547407,4
012025080307,5,4232,0.0201,0.050054,6
012025080307,6,3722,0.0151,0.037570,5
012025080308,1,4233,0.5674,1.000000,1
012025080308,2,5234,0.0841,0.148185,3
012025080308,3,4093,0.0434,0.076529,2
012025080308,4,5007,0.0929,0.163755,5
012025080308,5,4852,0.2103,0.370714,4
012025080308,6,5419,0.0019,0.003387,6
012025080309,1,3910,0.1394,0.389257,2
012025080309,2,4532,0.3582,1.000000,3
012025080309,3,4113,0.0989,0.276206,5
012025080309,4,4066,0.3410,0.951968,1
012025080309,5,3303,0.0532,0.148555,6
012025080309,6,3977,0.0093,0.025866,4
012025080310,1,4808,0.4047,1.000000,1
012025080310,2,3995,0.2086,0.515483,5
012025080310,3,4487,0.1111,0.274444,2
012025080310,4,4836,0.0623,0.153888,6
012025080310,5,4939,0.1443,0.356524,4
012025080310,6,4710,0.0691,0.170736,3
012025080311,1,4702,0.3605,0.973999,5
012025080311,2,4428,0.1083,0.292707,6
012025080311,3,3931,0.0785,0.212089,4
012025080311,4,4364,0.3701,1.000000,1
012025080311,5,4977,0.0687,0.185502,2
012025080311,6,4895,0.0139,0.037499,3
012025080312,1,4184,0.6835,1.000000,1
012025080312,2,4792,0.0542,0.079233,4
012025080312,3,3629,0.1003,0.146802,6
012025080312,4,4023,0.0688,0.100641,5
012025080312,5,4058,0.0301,0.044100,2
012025080312,6,4852,0.0631,0.092373,3
012025080401,1,4203,0.2462,0.659796,1
012025080401,2,4273,0.0850,0.227641,4
012025080401,3,4710,0.3732,1.000000,3
012025080401,4,3910,0.0950,0.254603,5
012025080401,5,3482,0.0911,0.244021,6
012025080401,6,4066,0.1095,0.293445,2
012025080402,1,4085,0.3130,1.000000,3
012025080402,2,4836,0.0509,0.162601,5
012025080402,3,4023,0.0987,0.315260,6
012025080402,4,4977,0.3128,0.999428,2
012025080402,5,3563,0.0605,0.193267,1
012025080402,6,4364,0.1642,0.524710,4
012025080403,1,4792,0.4158,1.000000,2
012025080403,2,4561,0.2148,0.516583,6
012025080403,3,3362,0.1121,0.269567,4
012025080403,4,3722,0.0578,0.138933,5
012025080403,5,4902,0.0424,0.101949,3
012025080403,6,4184,0.1572,0.378158,1
012025080404,1,4895,0.2460,0.728515,5
012025080404,2,3629,0.1499,0.443890,4
012025080404,3,4852,0.3377,1.000000,2
012025080404,4,4487,0.1008,0.298542,6
012025080404,5,4702,0.1251,0.370521,1
012025080404,6,3627,0.0405,0.119866,3
012025080405,1,4355,0.1565,0.448007,2
012025080405,2,3977,0.0675,0.193183,6
012025080405,3,4808,0.3494,1.000000,3
012025080405,4,4058,0.2468,0.706372,4
012025080405,5,4203,0.0543,0.155400,5
012025080405,6,3995,0.1255,0.359173,1
012025080406,1,5028,0.8138,1.000000,1
012025080406,2,4113,0.0496,0.060969,4
012025080406,3,4273,0.0634,0.077903,2
012025080406,4,4232,0.0365,0.044839,6
012025080406,5,5007,0.0255,0.031287,5
012025080406,6,4093,0.0112,0.013787,3
012025080407,1,4581,0.5331,1.000000,1
012025080407,2,4023,0.0517,0.096976,4
012025080407,3,4532,0.2803,0.525927,2
012025080407,4,4792,0.0967,0.181380,3
012025080407,5,5020,0.0257,0.048129,5
012025080407,6,4641,0.0126,0.023555,6
012025080408,1,3303,0.3669,1.000000,2
012025080408,2,3931,0.1229,0.334984,4
012025080408,3,4836,0.0607,0.165593,5
012025080408,4,3482,0.1706,0.465041,1
012025080408,5,4184,0.2764,0.753532,
012025080408,6,5419,0.0025,0.006755,3
012025080409,1,4902,0.2699,1.000000,1
012025080409,2,4487,0.1011,0.374665,2
012025080409,3,4233,0.2693,0.997955,6
012025080409,4,5183,0.1032,0.382424,5
012025080409,5,4066,0.1937,0.717860,3
012025080409,6,4428,0.0627,0.232198,4
012025080410,1,5234,0.2208,0.487444,4
012025080410,2,3910,0.0457,0.100998,5
012025080410,3,4364,0.4530,1.000000,3
012025080410,4,4808,0.1884,0.415868,1
012025080410,5,4113,0.0309,0.068165,6
012025080410,6,4702,0.0613,0.135263,2
012025080411,1,4852,0.5990,1.000000,2
012025080411,2,4710,0.1333,0.222538,3
012025080411,3,5028,0.1956,0.326471,6
012025080411,4,3977,0.0297,0.049516,4
012025080411,5,3362,0.0263,0.043855,5
012025080411,6,3563,0.0162,0.027069,1
012025080412,1,4561,0.4700,1.000000,1
012025080412,2,3627,0.0975,0.207535,6
012025080412,3,4581,0.1813,0.385802,2
012025080412,4,3931,0.1060,0.225495,5
012025080412,5,3995,0.0973,0.207073,4
012025080412,6,4977,0.0478,0.101616,3
012025080501,1,4232,0.1433,0.341097,6
012025080501,2,4364,0.4200,1.000000,1
012025080501,3,5183,0.0829,0.197429,2
012025080501,4,4710,0.3165,0.753539,3
012025080501,5,4093,0.0341,0.081209,4
012025080501,6,5419,0.0033,0.007829,5
012025080502,1,5020,0.2265,0.402685,1
012025080502,2,4058,0.1109,0.197138,5
012025080502,3,4355,0.0338,0.060015,3
012025080502,4,4184,0.5626,1.000000,4
012025080502,5,3910,0.0341,0.060618,2
012025080502,6,5234,0.0321,0.057092,6
012025080503,1,3563,0.3412,1.000000,1
012025080503,2,3995,0.2213,0.648781,4
012025080503,3,5007,0.0525,0.153827,6
012025080503,4,3629,0.1840,0.539408,5
012025080503,5,5028,0.1721,0.504500,2
012025080503,6,4487,0.0288,0.084560,3
012025080504,1,3722,0.1779,0.476725,4
012025080504,2,4852,0.3731,1.000000,1
012025080504,3,3303,0.1405,0.376505,5
012025080504,4,4085,0.1353,0.362610,2
012025080504,5,3931,0.0815,0.218335,3
012025080504,6,4233,0.0918,0.246060,6
012025080505,1,4093,0.1745,0.376270,4
012025080505,2,4808,0.1846,0.397876,2
012025080505,3,4203,0.0662,0.142781,6
012025080505,4,4532,0.4639,1.000000,3
012025080505,5,4792,0.0745,0.160609,1
012025080505,6,3362,0.0363,0.078155,5
012025080506,1,4428,0.6677,1.000000,2
012025080506,2,3482,0.1425,0.213404,3
012025080506,3,4232,0.0470,0.070424,6
012025080506,4,4641,0.0770,0.115388,4
012025080506,5,4836,0.0350,0.052497,5
012025080506,6,4023,0.0308,0.046073,1
012025080507,1,3629,0.5645,1.000000,5
012025080507,2,4355,0.0284,0.050362,6
012025080507,3,4066,0.2813,0.498373,1
012025080507,4,4895,0.0932,0.165101,3
012025080507,5,5419,0.0050,0.008891,4
012025080507,6,4902,0.0276,0.048870,2
012025080508,1,4364,0.8287,1.000000,1
012025080508,2,3722,0.0188,0.022678,4
012025080508,3,5020,0.0332,0.040092,6
012025080508,4,4113,0.0482,0.058160,3
012025080508,5,4561,0.0607,0.073212,5
012025080508,6,5007,0.0104,0.012603,2
012025080509,1,3627,0.3816,1.000000,2
012025080509,2,4581,0.1730,0.453382,6
012025080509,3,4058,0.1018,0.266914,3
012025080509,4,4702,0.2867,0.751308,1
012025080509,5,3977,0.0292,0.076638,4
012025080509,6,4085,0.0277,0.072478,5
012025080510,1,4532,0.7019,1.000000,1
012025080510,2,4641,0.0303,0.043229,2
012025080510,3,4977,0.1422,0.202587,4
012025080510,4,3303,0.0811,0.115579,5
012025080510,5,5183,0.0284,0.040438,3
012025080510,6,4273,0.0161,0.022913,6
012025080511,1,5028,0.5854,1.000000,1
012025080511,2,5234,0.0342,0.058395,2
012025080511,3,4710,0.1120,0.191306,3
012025080511,4,4066,0.1908,0.325878,5
012025080511,5,4808,0.0695,0.118716,4
012025080511,6,4836,0.0082,0.013994,6
012025080512,1,4184,0.7120,1.000000,5
012025080512,2,4895,0.0264,0.037068,3
012025080512,3,3995,0.1174,0.164832,2
012025080512,4,4428,0.0797,0.111957,1
012025080512,5,4233,0.0488,0.068588,6
012025080512,6,4792,0.0157,0.022051,4
012025080601,1,4836,0.2876,1.000000,1
012025080601,2,3303,0.2326,0.808901,4
012025080601,3,5020,0.1476,0.513340,
012025080601,4,3362,0.2230,0.775530,3
012025080601,5,4232,0.0551,0.191422,5
012025080601,6,4113,0.0540,0.187815,2
012025080602,1,4792,0.3221,1.000000,1
012025080602,2,4977,0.1869,0.580221,6
012025080602,3,3482,0.1151,0.357312,2
012025080602,4,3627,0.1762,0.547028,4
012025080602,5,4066,0.1512,0.469517,3
012025080602,6,3563,0.0485,0.150712,5
012025080603,1,4233,0.4806,1.000000,5
012025080603,2,4085,0.0525,0.109139,6
012025080603,3,4581,0.1476,0.307111,1
012025080603,4,4808,0.1844,0.383753,3
012025080603,5,4093,0.0204,0.042409,4
012025080603,6,4364,0.1146,0.238389,2
012025080604,1,3931,0.3166,1.000000,1
012025080604,2,4023,0.0527,0.166385,4
012025080604,3,4902,0.0550,0.173759,5
012025080604,4,4852,0.3039,0.959933,6
012025080604,5,5028,0.1504,0.475108,3
012025080604,6,4184,0.1215,0.383648,2
012025080605,1,4203,0.2822,1.000000,3
012025080605,2,4428,0.1915,0.678688,1
012025080605,3,4487,0.0976,0.345890,4
012025080605,4,4561,0.2577,0.913173,6
012025080605,5,4641,0.0414,0.146731,5
012025080605,6,4702,0.1295,0.459044,2
012025080606,1,4710,0.8317,1.000000,1
012025080606,2,4273,0.0607,0.072993,2
012025080606,3,3910,0.0454,0.054633,4
012025080606,4,3722,0.0425,0.051060,6
012025080606,5,4355,0.0171,0.020523,3
012025080606,6,5419,0.0026,0.003181,5
012025080607,1,4058,0.5422,1.000000,1
012025080607,2,5007,0.0767,0.141516,5
012025080607,3,3362,0.1324,0.244151,2
012025080607,4,5183,0.1376,0.253760,4
012025080607,5,4895,0.0655,0.120745,6
012025080607,6,5234,0.0456,0.084193,3
012025080608,1,3995,0.7470,1.000000,1
012025080608,2,3977,0.0462,0.061793,2
012025080608,3,4113,0.0567,0.075908,3
012025080608,4,4093,0.0467,0.062527,5
012025080608,5,3303,0.0616,0.082472,6
012025080608,6,3482,0.0419,0.056075,4
012025080609,1,3563,0.3871,1.000000,1
012025080609,2,4184,0.3337,0.861998,2
012025080609,3,3627,0.1107,0.285890,3
012025080609,4,4487,0.0795,0.205232,4
012025080609,5,4023,0.0371,0.095916,6
012025080609,6,4233,0.0519,0.133989,5
012025080610,1,4364,0.7310,1.000000,2
012025080610,2,4066,0.1032,0.141206,5
012025080610,3,4808,0.0737,0.100820,4
012025080610,4,4902,0.0335,0.045833,6
012025080610,5,4428,0.0434,0.059440,1
012025080610,6,3931,0.0152,0.020776,3
012025080611,1,4702,0.4782,1.000000,1
012025080611,2,5028,0.1477,0.308786,2
012025080611,3,4852,0.1695,0.354346,5
012025080611,4,4581,0.1216,0.254228,4
012025080611,5,4710,0.0718,0.150081,3
012025080611,6,4203,0.0113,0.023685,6
012025080612,1,4561,0.6006,1.000000,1
012025080612,2,3910,0.0380,0.063333,5
012025080612,3,4085,0.0623,0.103747,2
012025080612,4,4058,0.1045,0.173906,3
012025080612,5,3995,0.1314,0.218820,4
012025080612,6,4977,0.0631,0.105130,
012025080701,1,3482,0.6732,1.000000,3
012025080701,2,5183,0.0869,0.129105,1
012025080701,3,5007,0.0664,0.098703,2
012025080701,4,3303,0.1382,0.205326,4
012025080701,5,5419,0.0063,0.009306,6
012025080701,6,5020,0.0290,0.043017,5
012025080702,1,3977,0.2727,0.632240,4
012025080702,2,4232,0.0506,0.117267,5
012025080702,3,4852,0.4313,1.000000,1
012025080702,4,4792,0.1566,0.363026,
012025080702,5,3722,0.0344,0.079652,3
012025080702,6,4058,0.0544,0.126202,2
012025080703,1,4113,0.3189,0.868917,1
012025080703,2,3362,0.1160,0.316119,2
012025080703,3,3995,0.3670,1.000000,6
012025080703,4,4355,0.0453,0.123344,4
012025080703,5,3931,0.0887,0.241796,3
012025080703,6,3627,0.0640,0.174509,5
012025080704,1,4203,0.2958,1.000000,6
012025080704,2,4902,0.1033,0.349250,2
012025080704,3,4273,0.0949,0.320707,3
012025080704,4,4581,0.2701,0.912932,1
012025080704,5,4977,0.1474,0.498203,4
012025080704,6,4561,0.0885,0.299013,5
012025080705,1,4023,0.4144,1.000000,5
012025080705,2,4641,0.0681,0.164255,4
012025080705,3,3303,0.1408,0.339822,3
012025080705,4,4487,0.1112,0.268342,6
012025080705,5,4808,0.1524,0.367672,1
012025080705,6,4710,0.1131,0.273028,2
012025080706,1,4233,0.7008,1.000000,5
012025080706,2,3722,0.0425,0.060672,6
012025080706,3,4895,0.0736,0.104952,1
012025080706,4,3910,0.0600,0.085579,2
012025080706,5,4792,0.0941,0.134343,3
012025080706,6,5183,0.0290,0.041391,4
012025080707,1,4066,0.7798,1.000000,1
012025080707,2,5020,0.0517,0.066246,3
012025080707,3,4058,0.0942,0.120750,6
012025080707,4,4232,0.0336,0.043109,2
012025080707,5,4085,0.0383,0.049149,4
012025080707,6,5419,0.0024,0.003109,5
012025080708,1,4977,0.8105,1.000000,2
012025080708,2,4355,0.0274,0.033844,5
012025080708,3,4836,0.0382,0.047105,6
012025080708,4,3977,0.0543,0.066938,3
012025080708,5,3362,0.0516,0.063672,4
012025080708,6,5007,0.0181,0.022298,1
012025080709,1,5234,0.3674,1.000000,2
012025080709,2,4093,0.0547,0.148941,5
012025080709,3,4561,0.3014,0.820177,4
012025080709,4,4641,0.0709,0.192896,1
012025080709,5,4273,0.0574,0.156102,6
012025080709,6,3995,0.1483,0.403540,3
012025080710,1,3627,0.3779,1.000000,2
012025080710,2,4808,0.1220,0.322820,3
012025080710,3,4581,0.1755,0.464387,1
012025080710,4,4852,0.2678,0.708692,4
012025080710,5,4902,0.0331,0.087706,6
012025080710,6,4023,0.0235,0.062252,5
012025080711,1,4710,0.6522,1.000000,1
012025080711,2,3931,0.0573,0.087928,2
012025080711,3,4487,0.0463,0.070960,4
012025080711,4,4066,0.1761,0.270024,5
012025080711,5,4233,0.0564,0.086443,3
012025080711,6,4203,0.0117,0.017872,6
012025080712,1,4702,0.5024,1.000000,1
012025080712,2,3563,0.0432,0.086068,6
012025080712,3,4428,0.0956,0.190318,4
012025080712,4,4364,0.2279,0.453542,2
012025080712,5,4184,0.0870,0.173099,3
012025080712,6,5028,0.0439,0.087473,5
012025081101,1,3652,0.2673,0.723379,6
012025081101,2,3538,0.1577,0.426696,3
012025081101,3,3947,0.1274,0.344757,1
012025081101,4,5216,0.3695,1.000000,4
012025081101,5,3653,0.0691,0.187071,2
012025081101,6,5402,0.0091,0.024566,5
012025081102,1,5006,0.2412,0.705735,2
012025081102,2,4539,0.2885,0.843902,1
012025081102,3,3827,0.0731,0.213790,3
012025081102,4,4645,0.3418,1.000000,4
012025081102,5,5070,0.0490,0.143494,6
012025081102,6,5390,0.0064,0.018716,5
012025081103,1,3790,0.2379,0.893312,4
012025081103,2,3659,0.1198,0.449894,2
012025081103,3,5150,0.1896,0.712031,3
012025081103,4,4637,0.1607,0.603409,6
012025081103,5,5283,0.0255,0.095906,5
012025081103,6,4188,0.2663,1.000000,1
012025081104,1,3973,0.2682,0.929282,3
012025081104,2,4787,0.2886,1.000000,1
012025081104,3,3655,0.1611,0.558147,2
012025081104,4,3686,0.2004,0.694364,4
012025081104,5,4550,0.0747,0.258923,5
012025081104,6,5365,0.0071,0.024581,6
012025081105,1,4819,0.5638,1.000000,1
012025081105,2,3993,0.1632,0.289431,4
012025081105,3,4987,0.0740,0.131209,3
012025081105,4,5213,0.1342,0.238102,2
012025081105,5,5153,0.0520,0.092195,5
012025081105,6,5306,0.0129,0.022843,6
012025081106,1,5141,0.8605,1.000000,2
012025081106,2,3448,0.0342,0.039717,3
012025081106,3,3538,0.0596,0.069258,1
012025081106,4,5320,0.0125,0.014577,5
012025081106,5,3441,0.0301,0.034923,4
012025081106,6,5364,0.0031,0.003616,6
012025081107,1,3475,0.4198,1.000000,2
012025081107,2,3827,0.0521,0.124117,4
012025081107,3,4362,0.3906,0.930639,3
012025081107,4,5234,0.1062,0.252903,1
012025081107,5,3652,0.0263,0.062619,5
012025081107,6,5341,0.0051,0.012042,6
012025081108,1,3406,0.5652,1.000000,4
012025081108,2,3653,0.0516,0.091351,3
012025081108,3,3790,0.0511,0.090336,6
012025081108,4,5006,0.0520,0.091926,1
012025081108,5,4851,0.2726,0.482350,2
012025081108,6,5377,0.0076,0.013465,5
012025081109,1,4645,0.6501,1.000000,2
012025081109,2,4420,0.0983,0.151205,3
012025081109,3,3659,0.0939,0.144370,6
012025081109,4,3947,0.0537,0.082650,1
012025081109,5,3993,0.0529,0.081344,4
012025081109,6,4486,0.0511,0.078661,5
012025081110,1,5216,0.6095,1.000000,1
012025081110,2,3740,0.1365,0.223971,4
012025081110,3,4819,0.0871,0.142813,2
012025081110,4,3655,0.1035,0.169810,3
012025081110,5,4887,0.0307,0.050345,6
012025081110,6,4637,0.0327,0.053635,5
012025081111,1,3532,0.7852,1.000000,1
012025081111,2,3686,0.0649,0.082652,4
012025081111,3,5070,0.0273,0.034828,5
012025081111,4,5150,0.0629,0.080135,3
012025081111,5,5213,0.0228,0.029101,6
012025081111,6,4036,0.0368,0.046920,2
012025081112,1,4851,0.5269,1.000000,1
012025081112,2,4362,0.1071,0.203352,6
012025081112,3,4188,0.1910,0.362536,3
012025081112,4,4787,0.0875,0.166015,2
012025081112,5,5141,0.0608,0.115336,5
012025081112,6,4539,0.0267,0.050625,4
012025081201,1,3448,0.4902,1.000000,5
012025081201,2,3947,0.1736,0.354105,3
012025081201,3,5306,0.0368,0.075134,6
012025081201,4,4887,0.1509,0.307868,1
012025081201,5,5377,0.0291,0.059345,4
012025081201,6,5150,0.1194,0.243589,2
012025081202,1,4550,0.4501,1.000000,2
012025081202,2,4987,0.0482,0.107079,1
012025081202,3,4486,0.2066,0.458958,5
012025081202,4,4036,0.2783,0.618368,3
012025081202,5,5341,0.0084,0.018743,6
012025081202,6,5320,0.0084,0.018698,4
012025081203,1,3441,0.3248,0.927687,2
012025081203,2,5153,0.0553,0.158015,5
012025081203,3,5216,0.2450,0.699675,3
012025081203,4,5283,0.0179,0.051072,4
012025081203,5,3532,0.3502,1.000000,1
012025081203,6,5390,0.0068,0.019428,6
012025081204,1,5234,0.4334,1.000000,3
012025081204,2,5213,0.0990,0.228496,6
012025081204,3,4637,0.1312,0.302707,2
012025081204,4,3406,0.2043,0.471486,1
012025081204,5,5365,0.0081,0.018716,5
012025081204,6,5141,0.1239,0.285859,4
012025081205,1,5070,0.1767,0.338143,5
012025081205,2,4851,0.5225,1.000000,2
012025081205,3,3475,0.0995,0.190456,4
012025081205,4,4420,0.1351,0.258562,1
012025081205,5,4819,0.0609,0.116580,3
012025081205,6,5364,0.0052,0.009959,6
012025081206,1,4188,0.9124,1.000000,1
012025081206,2,3652,0.0134,0.014698,4
012025081206,3,3973,0.0255,0.027996,2
012025081206,4,3993,0.0409,0.044794,5
012025081206,5,5320,0.0049,0.005323,6
012025081206,6,5377,0.0029,0.003186,3
012025081207,1,3659,0.5339,1.000000,2
012025081207,2,5283,0.0185,0.034650,5
012025081207,3,3740,0.3192,0.597951,1
012025081207,4,3448,0.0875,0.163877,4
012025081207,5,3827,0.0361,0.067691,3
012025081207,6,5402,0.0047,0.008882,6
012025081208,1,3655,0.5855,1.000000,1
012025081208,2,3790,0.0639,0.109137,
012025081208,3,3441,0.1070,0.182724,4
012025081208,4,5306,0.0219,0.037478,3
012025081208,5,4539,0.2159,0.368777,2
012025081208,6,5341,0.0058,0.009915,5
012025081209,1,5153,0.1798,0.792593,2
012025081209,2,5150,0.1668,0.735561,4
012025081209,3,3406,0.2268,1.000000,3
012025081209,4,4550,0.1292,0.569464,1
012025081209,5,4645,0.1767,0.779023,5
012025081209,6,4787,0.1207,0.532330,6
012025081210,1,4887,0.2070,0.514958,1
012025081210,2,5141,0.2801,0.696771,3
012025081210,3,3532,0.4020,1.000000,2
012025081210,4,3653,0.0432,0.107444,6
012025081210,5,3475,0.0535,0.133016,5
012025081210,6,4987,0.0141,0.035176,4
012025081211,1,4486,0.5164,1.000000,4
012025081211,2,5216,0.1264,0.244833,2
012025081211,3,3686,0.1107,0.214456,1
012025081211,4,3538,0.0734,0.142045,5
012025081211,5,5006,0.0245,0.047427,6
012025081211,6,4851,0.1486,0.287772,3
012025081212,1,4362,0.6736,1.000000,1
012025081212,2,5234,0.0682,0.101226,4
012025081212,3,4420,0.0871,0.129325,2
012025081212,4,3973,0.0414,0.061499,6
012025081212,5,4036,0.0844,0.125336,3
012025081212,6,3740,0.0453,0.067243,5
012025081301,1,3538,0.5821,1.000000,2
012025081301,2,4887,0.1248,0.214416,3
012025081301,3,3652,0.0799,0.137255,6
012025081301,4,5070,0.1272,0.218501,1
012025081301,5,5390,0.0156,0.026879,4
012025081301,6,4550,0.0703,0.120749,5
012025081302,1,3653,0.2288,0.726288,1
012025081302,2,3740,0.3151,1.000000,
012025081302,3,3993,0.1579,0.501211,2
012025081302,4,4420,0.2778,0.881822,3
012025081302,5,5364,0.0131,0.041514,4
012025081302,6,5365,0.0073,0.023118,5
012025081303,1,5213,0.3996,1.000000,3
012025081303,2,5006,0.0697,0.174396,2
012025081303,3,3686,0.2311,0.578189,4
012025081303,4,3947,0.1338,0.334739,6
012025081303,5,5402,0.0088,0.022012,5
012025081303,6,4362,0.1571,0.393089,1
012025081304,1,5283,0.0663,0.132737,3
012025081304,2,4188,0.4992,1.000000,1
012025081304,3,4645,0.2254,0.451583,4
012025081304,4,4819,0.1088,0.217954,5
012025081304,5,5216,0.0925,0.185265,2
012025081304,6,5377,0.0078,0.015598,
012025081305,1,3827,0.2019,0.480309,5
012025081305,2,3655,0.1693,0.402645,3
012025081305,3,5141,0.4204,1.000000,2
012025081305,4,3659,0.1499,0.356628,1
012025081305,5,3973,0.0523,0.124450,4
012025081305,6,5390,0.0061,0.014455,6
012025081306,1,4539,0.8187,1.000000,1
012025081306,2,5306,0.0169,0.020692,4
012025081306,3,3448,0.0554,0.067634,2
012025081306,4,4987,0.0485,0.059259,6
012025081306,5,5234,0.0560,0.068383,3
012025081306,6,5364,0.0045,0.005502,5
012025081307,1,5150,0.4260,1.000000,1
012025081307,2,4550,0.0912,0.214153,3
012025081307,3,3532,0.4024,0.944801,2
012025081307,4,5365,0.0141,0.033071,6
012025081307,5,4637,0.0629,0.147573,4
012025081307,6,5402,0.0034,0.008083,5
012025081308,1,3686,0.6821,1.000000,2
012025081308,2,5320,0.0207,0.030344,6
012025081308,3,5153,0.0658,0.096488,4
012025081308,4,3653,0.0541,0.079376,3
012025081308,5,4787,0.1726,0.253066,1
012025081308,6,5341,0.0047,0.006838,5
012025081309,1,3993,0.3448,1.000000,3
012025081309,2,4486,0.1796,0.520919,6
012025081309,3,4887,0.0767,0.222492,4
012025081309,4,3475,0.1205,0.349560,1
012025081309,5,4362,0.2386,0.691950,2
012025081309,6,4819,0.0398,0.115538,5
012025081310,1,3740,0.4502,1.000000,1
012025081310,2,3406,0.1000,0.222197,2
012025081310,3,4851,0.3312,0.735710,4
